id;nombre;posicion_x;posicion_y;posicion_z;tipo_falla;cantidad_eventos;tiempo_reparacion;aviones_por_pista;t_llegada_personas;t_abordaje
1;Vietnam;10;-21;-5;62;98;88;23;5;11
2;China;-2;-47;4;55;91;32;16;41;59
3;Japan;-10;-15;-1;100;65;87;24;9;47
4;Germany;50;30;3;91;72;86;28;73;36
5;Mexico;-20;-25;-2;22;54;5;22;26;31
6;Russia;-22;44;-2;59;20;85;16;27;47
7;Canada;-22;-36;3;35;100;32;20;22;82
8;Poland;9;16;5;56;55;45;19;95;50
9;Sweden;22;-6;-1;59;2;99;24;60;85
10;Netherlands;-13;-35;-3;93;1;51;25;3;35
11;Guatemala;22;6;5;68;20;75;25;81;34
12;Pakistan;-11;-27;0;50;29;55;29;13;51
13;Peru;-19;47;-1;56;88;14;25;11;28
14;Thailand;-26;-20;5;23;48;32;16;49;13
15;Argentina;34;20;0;60;62;78;18;45;28
16;Colombia;21;-14;4;1;77;79;22;31;38
17;Chile;-37;-36;-3;33;25;61;23;43;99
18;France;30;-46;3;55;48;17;19;9;12
19;Panama;-20;35;3;89;31;60;25;17;61
20;Andorra;39;17;5;26;18;36;21;64;58
21;Spain;-48;9;-1;44;11;34;17;73;39
22;Yemen;-21;38;-5;53;97;76;23;81;80
23;Philippines;-20;-16;1;11;14;51;26;92;29
24;Indonesia;-16;40;5;67;41;78;17;38;88
25;Belgium;-33;44;3;39;51;100;19;35;99
26;Brazil;-3;30;-3;86;30;93;24;70;25
27;Norway;-33;-37;2;73;86;44;28;54;89
28;Denmark;-49;5;4;41;20;12;19;85;68
29;Iceland;16;47;-5;62;22;100;18;2;40
30;Uruguay;45;25;0;20;20;29;20;96;83
